source_french,target_english,transformer_prediction,nearest_train_source,nearest_source_similarity,predicted_english,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
ils nourrissent les pigeons sur la place,they feed the pigeons in the square,they feed the ducks in the pond,ils nourrissent les oiseaux dans le parc,0.75,they feed the birds in the park,similarity_memory,FAIL,0.42857142857142855,0.7878787878787878,0.6483369642058648,0.20556680845025987
elle pratique le yoga tous les matins,she practices yoga every morning,she practices the violin every day,ils pratiquent le piano tous les après-midi,0.675,they practice piano every afternoon,similarity_memory,FAIL,0.08571428571428572,0.6865671641791045,0.4668058495568486,0.05372849659117709
j'aime marcher dans la neige,i enjoy walking in the snow,i enjoy walking in the dense forest,j'aime marcher sous la pluie,0.75,i enjoy walking in the rain,similarity_memory,FAIL,0.8518518518518519,0.8888888888888888,0.8518217258010183,0.7598356856515925
elle adore porter des vestes modernes,she loves to wear modern jackets,she loves to wear colorful hats,elle adore porter des vestes en cuir modernes,0.9024390243902439,she loves to wear modern leather jackets,similarity_memory,FAIL,0.625,0.8888888888888888,0.771419972478277,0.6434588841607617
le bus de la ville arrive précisément à cinq heures,the city bus arrives precisely at five o'clock,the bus arrives at five o'clock,le bus arrive à cinq heures,0.6923076923076923,the bus arrives at five o'clock,similarity_memory,FAIL,0.08695652173913043,0.8051948051948052,0.5825889631917844,0.19053627645285992
nous avons visité les ruines historiques de la pyramide,we visited the historical ruins of the pyramid,we visited the ancient amphitheater during our holiday,nous avons visité les ruines antiques,0.7608695652173914,we visited the ancient ruins,similarity_memory,FAIL,0.32608695652173914,0.6216216216216216,0.3741266838548947,0.15681965572642162
ils parlent français avec un parfait accent parisien,they speak french with a perfect parisian accent,they speak with an accent,ils parlent avec un accent,0.6666666666666666,they speak with an accent,similarity_memory,FAIL,0.22916666666666666,0.684931506849315,0.3704967454789483,0.07415543676501504
nous avons traversé la large rivière en utilisant un radeau en bois,we crossed the wide river using a wooden raft,we crossed the river by boat,nous avons traversé la rivière en bateau,0.7102803738317757,we crossed the river by boat,similarity_memory,FAIL,0.37777777777777777,0.6575342465753424,0.4125775105486094,0.13168903966325227
le lait est froid,the milk is cold,the bread is fresh from the bakery,l'eau est froide,0.7878787878787878,the water is cold,similarity_memory,FAIL,0.23529411764705882,0.7272727272727273,0.5635190098079903,0.1880301546543197
nous aimons jouer à des jeux vidéo,we enjoy playing video games,we love walking through the quiet botanical,nous adorons manger des fruits frais,0.5714285714285714,we love walking through the quiet botanical,transformer,FAIL,0.11627906976744186,0.39436619718309857,0.10155170980802296,0.033031643180138064
