key,inference_time_sec,output_sequence
"('base', 'LSTM', 20, 128, 1, 128)",0.12752771377563477,"To be, or not to be the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come, the come,"
"('base', 'GRU', 20, 128, 1, 128)",0.25688719749450684,"To be, or not to be sonest the see the senator:
What the say the succh the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the "
"('base', 'LSTM', 30, 128, 1, 128)",0.1449143886566162,"To be, or not to be the show the shall the command to the say the command to the say the command to the say the command to the say the command to the say the command to the say the command to the say the command to the "
"('base', 'GRU', 30, 128, 1, 128)",0.3074767589569092,"To be, or not to be the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood the stroke the stood "
"('small_hidden', 'LSTM', 20, 64, 1, 64)",0.08316946029663086,"To be, or not to be the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes the comes"
"('small_hidden', 'GRU', 20, 64, 1, 64)",0.21624016761779785,"To be, or not to be to the procest the proceant to the procest the proceant to the procest the proceant to the procest the proceant to the procest the proceant to the procest the proceant to the procest the proceant to "
"('two_layers', 'LSTM', 20, 128, 2, 128)",0.16709184646606445,"To be, or not to be the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the proness the pro"
"('two_layers', 'GRU', 20, 128, 2, 128)",0.44405364990234375,"To be, or not to be to the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the see the "
"('seq50', 'LSTM', 50, 128, 1, 128)",0.17586827278137207,"To be, or not to be be be be be be be be be be be have the common the common the common the common the common the common the common the common the common the common the common the common the common the common the common"
"('seq50', 'GRU', 50, 128, 1, 128)",0.5312988758087158,"To be, or not to be the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace the grace"
