source_english,target_french,transformer_prediction,nearest_train_source,nearest_source_similarity,predicted_french,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
they feed the pigeons in the square,ils nourrissent les pigeons sur la place,ils nourrissent les oiseaux dans la ville,they feed the birds in the park,0.7878787878787878,ils nourrissent les oiseaux dans le parc,similarity_memory,FAIL,0.6,0.75,0.5949843476789021,0.16348126556655487
she practices yoga every morning,elle pratique le yoga tous les matins,elle joue du violon tous les jours,they practice running every morning,0.8059701492537313,ils s'entraînent à la course tous les matins,similarity_memory,FAIL,0.18181818181818182,0.5679012345679012,0.4259004519164221,0.1374708101760565
i enjoy walking in the snow,j'aime marcher dans la neige,j'aime marcher dans la forêt dense,i enjoy walking in the rain,0.8888888888888888,j'aime marcher sous la pluie,similarity_memory,FAIL,0.75,0.75,0.651818996067954,0.12574334296829354
she loves to wear modern jackets,elle adore porter des vestes modernes,elle adore porter des vestes en cuir modernes,she loves to wear modern leather jackets,0.8888888888888888,elle adore porter des vestes en cuir modernes,similarity_memory,FAIL,0.6444444444444445,0.9024390243902439,0.7978799393550989,0.5410822690539396
the city bus arrives precisely at five o'clock,le bus de la ville arrive précisément à cinq heures,le bus arrive à cinq heures,the bus arrives at five o'clock,0.8051948051948052,le bus arrive à cinq heures,similarity_memory,FAIL,0.13725490196078433,0.6923076923076923,0.38469107079413095,0.13652520787861752
we visited the historical ruins of the pyramid,nous avons visité les ruines historiques de la pyramide,nous avons visité les ruines antiques,we visited the historic monument,0.6923076923076923,nous avons visité le monument historique,similarity_memory,FAIL,0.38181818181818183,0.7157894736842105,0.5218479378147665,0.1225504602011117
they speak french with a perfect parisian accent,ils parlent français avec un parfait accent parisien,ils parlent souvent d'économie et de distribution avec un brouillard,they speak with an accent,0.684931506849315,ils parlent avec un accent,similarity_memory,FAIL,0.25,0.6666666666666666,0.34700929494973365,0.09324552518106888
we crossed the wide river using a wooden raft,nous avons traversé la large rivière en utilisant un radeau en bois,nous avons découvert un sentier tranquille à travers les montagnes,we crossed the river by boat,0.6575342465753424,nous avons traversé la rivière en bateau,similarity_memory,FAIL,0.3582089552238806,0.7102803738317757,0.45716520284132683,0.23934818779838288
the milk is cold,le lait est froid,l'eau est froide,the water is cold,0.7272727272727273,l'eau est froide,similarity_memory,FAIL,0.058823529411764705,0.7878787878787878,0.5846277282843987,0.0814136751754278
we enjoy playing video games,nous aimons jouer à des jeux vidéo,nous jouons de la musique au concert,he enjoys reading books,0.5882352941176471,il aime lire des livres,similarity_memory,FAIL,0.058823529411764705,0.42105263157894735,0.1848295099572548,0.036015288308423515
