source_english,target_french,transformer_prediction,nearest_train_source,nearest_source_similarity,nearest_source_jaccard,nearest_source_length_ratio,nearest_source_combo_score,predicted_french,prediction_method,exact_match,char_accuracy,sequence_similarity,char_bleu4,word_bleu4
they feed the pigeons in the square,ils nourrissent les pigeons sur la place,ils nourrissent les oiseaux dans la ville,they feed the birds in the park,0.7878787878787878,0.5,0.8857142857142857,0.7458441558441558,ils nourrissent les oiseaux dans le parc,similarity_memory_v2,FAIL,0.6,0.75,0.5949843476789021,0.16348126556655487
she practices yoga every morning,elle pratique le yoga tous les matins,elle joue du violon tous les jours,they practice running every morning,0.8059701492537313,0.25,0.9142857142857143,0.716727078891258,elle joue du violon tous les jours,transformer,FAIL,0.16216216216216217,0.5915492957746479,0.3998688025959693,0.07730551756939454
i enjoy walking in the snow,j'aime marcher dans la neige,j'aime marcher dans la forêt dense,i enjoy walking in the rain,0.8888888888888888,0.7142857142857143,1.0,0.8685714285714284,j'aime marcher dans la forêt dense,transformer,FAIL,0.6764705882352942,0.8064516129032258,0.6816088136830766,0.5081327481546147
she loves to wear modern jackets,elle adore porter des vestes modernes,elle adore porter des vestes en cuir modernes,she loves to wear modern leather jackets,0.8888888888888888,0.8571428571428571,0.8,0.8742857142857141,elle adore porter des vestes en cuir modernes,transformer,FAIL,0.6444444444444445,0.9024390243902439,0.7978799393550989,0.5410822690539396
the city bus arrives precisely at five o'clock,le bus de la ville arrive précisément à cinq heures,le bus arrive à cinq heures,the bus arrives at five o'clock,0.8051948051948052,0.75,0.6739130434782609,0.7821315640880859,le bus arrive à cinq heures,transformer,FAIL,0.13725490196078433,0.6923076923076923,0.38469107079413095,0.13652520787861752
we visited the historical ruins of the pyramid,nous avons visité les ruines historiques de la pyramide,nous avons visité les ruines antiques,we visited the ancient pyramid,0.6578947368421053,0.5,0.6521739130434783,0.6289016018306636,nous avons visité la pyramide antique,similarity_memory_v2,FAIL,0.36363636363636365,0.6304347826086957,0.5334522819927948,0.15409904547990594
they speak french with a perfect parisian accent,ils parlent français avec un parfait accent parisien,ils parlent souvent d'économie et de distribution avec un brouillard,they speak with an accent,0.684931506849315,0.4444444444444444,0.5208333333333334,0.6252340182648402,ils parlent avec un accent,similarity_memory_v2,FAIL,0.25,0.6666666666666666,0.34700929494973365,0.09324552518106888
we crossed the wide river using a wooden raft,nous avons traversé la large rivière en utilisant un radeau en bois,nous avons découvert un sentier tranquille à travers les montagnes,we crossed the river by boat,0.6575342465753424,0.36363636363636365,0.6222222222222222,0.6011014252110142,nous avons traversé la rivière en bateau,similarity_memory_v2,FAIL,0.3582089552238806,0.7102803738317757,0.45716520284132683,0.23934818779838288
the milk is cold,le lait est froid,l'eau est froide,the water is cold,0.7272727272727273,0.6,0.9411764705882353,0.7257540106951872,l'eau est froide,similarity_memory_v2,FAIL,0.058823529411764705,0.7878787878787878,0.5846277282843987,0.0814136751754278
we enjoy playing video games,nous aimons jouer à des jeux vidéo,nous jouons de la musique au concert,i enjoy walking in the rain,0.5818181818181818,0.1,0.9642857142857143,0.5333376623376623,j'aime marcher sous la pluie,similarity_memory_v2,FAIL,0.058823529411764705,0.22580645161290322,0.14443942231882118,0.0
the birds chirp in the morning,les oiseaux gazouillent le matin,les oiseaux chantent dans le parc,the birds sing in the trees,0.7017543859649122,0.42857142857142855,0.9,0.6724060150375939,les oiseaux chantent dans les arbres,similarity_memory_v2,FAIL,0.3333333333333333,0.6176470588235294,0.4289008848681009,0.08633400213704504
the project takes a lot of time,le projet prend beaucoup de temps,le projet demande beaucoup d'efforts,the project requires a lot of effort,0.746268656716418,0.5555555555555556,0.8611111111111112,0.723424543946932,le projet demande beaucoup d'efforts,similarity_memory_v2,FAIL,0.3055555555555556,0.782608695652174,0.6107066332829294,0.10294994188297393
i want to drink a glass of milk,je veux boire un verre de lait,je veux boire une tasse de thé chaud,i want to drink a hot cup of tea,0.6984126984126984,0.5454545454545454,0.96875,0.697913961038961,je veux boire une tasse de thé chaud,similarity_memory_v2,FAIL,0.4444444444444444,0.696969696969697,0.5410253280093151,0.1477219991186121
they play basketball after school,ils jouent au basket après l'école,ils jouent au tennis le week-end,they play volleyball on the beach,0.5757575757575758,0.2222222222222222,1.0,0.5545454545454546,ils jouent au volley-ball sur la plage,similarity_memory_v2,FAIL,0.39473684210526316,0.6111111111111112,0.4300388459667626,0.16348126556655487
she cooked a traditional sunday roast for everyone,elle a cuisiné un rôti du dimanche traditionnel pour tout le monde,elle a gagné un tournoi d'échecs très compétitif,she cooks a traditional three-course meal for dinner,0.6274509803921569,0.3333333333333333,0.9615384615384616,0.607918552036199,elle cuisine un repas traditionnel à trois plats pour le dîner,similarity_memory_v2,FAIL,0.12121212121212122,0.640625,0.5226003619624986,0.025738301809738573
they visit museums often,ils visitent souvent des musées,ils visitent la tour eiffel,they visit the eiffel tower,0.5882352941176471,0.2857142857142857,0.8888888888888888,0.5638468720821662,ils visitent la tour eiffel,similarity_memory_v2,FAIL,0.45161290322580644,0.5862068965517241,0.4401791773303016,0.11362193664674995
they feed the hungry pigeons near the fountain,ils nourrissent les pigeons affamés près de la fontaine,ils nourrissent les murs de la chambre à la ville,they feed the ducks in the pond,0.6493506493506493,0.3,0.6739130434782609,0.5889237718802935,ils nourrissent les canards dans l'étang,similarity_memory_v2,FAIL,0.4,0.5684210526315789,0.42292879206738976,0.1225504602011117
she goes to the gym regularly,elle va régulièrement à la salle de sport,elle adore porter des chapeaux colorés,she dances at the party,0.6153846153846154,0.2222222222222222,0.7931034482758621,0.5623872679045093,elle danse à la fête,similarity_memory_v2,FAIL,0.14634146341463414,0.45901639344262296,0.1871074780564327,0.06900940978236146
she writes poetry in her free time,elle écrit de la poésie pendant son temps libre,elle traduit des contrats juridiques complexes pour des entreprises mondiales,the water in the lake is clear,0.5625,0.08333333333333333,0.8823529411764706,0.508235294117647,l'eau du lac est claire,similarity_memory_v2,FAIL,0.0425531914893617,0.4,0.028414094785156874,0.0
he vacuums his entire house every friday afternoon,il passe l'aspirateur dans toute sa maison tous les vendredis après-midi,il a terminé sa chambre en avance sur le calendrier,they practice piano every afternoon,0.611764705882353,0.18181818181818182,0.7,0.5431978609625668,ils pratiquent le piano tous les après-midi,similarity_memory_v2,FAIL,0.041666666666666664,0.5565217391304348,0.3029308761760315,0.04365582670262632
the hot chocolate was served with mini marshmallows,le chocolat chaud était servi avec des mini guimauves,le fleuriste du coin vend des roses fraîches,the morning train is usually packed with commuters,0.43564356435643564,0.14285714285714285,0.9803921568627451,0.43741686773719385,le fleuriste du coin vend des roses fraîches,transformer,FAIL,0.09433962264150944,0.30927835051546393,0.1495758428127924,0.02915032279375143
she purchased a rare vintage painting at the auction,elle a acheté un tableau vintage rare aux enchères,elle traduit des manuscrits anciens de tennis le mois prochain,we spent a week visiting the national park,0.5531914893617021,0.13333333333333333,0.8076923076923077,0.5030671031096563,nous avons passé une semaine à visiter le parc national,similarity_memory_v2,FAIL,0.09090909090909091,0.41904761904761906,0.11969290421896117,0.0
he plays guitar in a local band,il joue de la guitare dans un groupe local,il joue de la basse dans un groupe de jazz professionnel,he plays drums in a rock band,0.7666666666666667,0.5555555555555556,0.9354838709677419,0.7455483870967742,il joue de la batterie dans un groupe de rock,similarity_memory_v2,FAIL,0.35555555555555557,0.7816091954022989,0.6765672225780557,0.37991784282579627
the old wooden bridge is safe to cross,le vieux pont en bois est sûr à traverser,le glacier épais fond en raison du changement climatique,the guide is easy to read,0.5396825396825397,0.2727272727272727,0.6578947368421053,0.5034518113465482,le glacier épais fond en raison du changement climatique,transformer,FAIL,0.14285714285714285,0.4329896907216495,0.12423665141044295,0.028517539529041507
the pizza tastes good,la pizza a bon goût,les petits tamias stockent des graines pour l'hiver,the soup tastes delicious,0.6086956521739131,0.3333333333333333,0.84,0.5822608695652174,la soupe est délicieuse,similarity_memory_v2,FAIL,0.17391304347826086,0.23809523809523808,0.0539471088086188,0.06257106818159155
she wears a diamond necklace,elle porte un collier de diamants,elle porte un collier en argent,she wears a silver necklace,0.8,0.6666666666666666,0.9642857142857143,0.7924285714285714,elle porte un collier en argent,similarity_memory_v2,FAIL,0.696969696969697,0.84375,0.6932083209121535,0.5081327481546147
she practices her dance routine in front of the mirror,elle pratique sa routine de danse devant le miroir,elle joue du violon tous les jours,they practice long-distance running every single morning,0.5454545454545454,0.0,0.9642857142857143,0.4891558441558441,elle joue du violon tous les jours,transformer,FAIL,0.18,0.40476190476190477,0.14232471000194352,0.024822529802838878
he plays bass in a jazz band,il joue de la basse dans un groupe de jazz,il joue de la basse dans un groupe de rock,he plays bass guitar in a professional jazz band,0.7368421052631579,0.7777777777777778,0.5833333333333334,0.728859649122807,il joue de la basse dans un groupe de jazz professionnel,similarity_memory_v2,FAIL,0.75,0.8571428571428571,0.7429923631517806,0.8931539818068694
he teaches biology to teenagers,il enseigne la biologie aux adolescents,il enseigne la chimie aux étudiants universitaires,he teaches chemistry to university students,0.5675675675675675,0.375,0.7209302325581395,0.5482416719044626,il enseigne la chimie aux étudiants universitaires,similarity_memory_v2,FAIL,0.32,0.6067415730337079,0.4485507163221107,0.17567205239427922
